,Title,Artist,Genre,Year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,Popularity
171,#thatPOWER,will.i.am,dance pop,2013,128,61,80,-6,7,40,280,0,6,68
172,I Love It (feat. Charli XCX),Icona Pop,candy pop,2013,126,91,71,-3,15,82,157,1,3,67
173,Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,dance pop,2013,130,87,72,-3,66,68,209,4,4,67
174,Daylight,Maroon 5,pop,2013,120,67,66,-5,26,37,225,0,3,66
175,Love Somebody,Maroon 5,pop,2013,120,78,68,-6,12,40,230,13,4,65
176,A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2013,130,62,76,-6,9,52,241,1,18,65
177,Move,Little Mix,dance pop,2013,121,74,85,-5,55,77,224,0,9,63
178,Walks Like Rihanna,The Wanted,boy band,2013,126,82,56,-3,10,43,202,1,6,62
179,Rock N Roll,Avril Lavigne,canadian pop,2013,184,96,47,-3,34,67,207,1,13,61
180,Heartbreaker,Justin Bieber,canadian pop,2013,105,52,56,-7,34,58,263,14,10,61
181,Mirrors - Radio Edit,Justin Timberlake,dance pop,2013,77,60,58,-6,43,65,277,14,5,60
182,Next To Me,Emeli Sandé,dance pop,2013,95,80,67,-5,11,35,197,9,4,60
183,Made In The USA,Demi Lovato,dance pop,2013,87,86,58,-4,32,59,196,0,4,60
184,Clown,Emeli Sandé,dance pop,2013,130,23,45,-8,11,23,221,92,4,60
185,Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,hip pop,2013,93,81,55,-6,15,34,271,9,31,59
186,TKO,Justin Timberlake,dance pop,2013,138,68,61,-7,43,49,424,1,24,58
187,Come & Get It,Selena Gomez,dance pop,2013,80,79,55,-4,10,58,232,1,5,57
188,Live It Up,Jennifer Lopez,dance pop,2013,128,73,69,-5,33,65,244,1,17,57
189,We Own The Night,The Wanted,boy band,2013,104,94,55,-4,23,56,206,1,13,56
190,Atlas - From “The Hunger Games: Catching Fire” Soundtrack,Coldplay,permanent wave,2013,136,45,28,-8,11,11,236,63,3,55
191,What About Love,Austin Mahone,dance pop,2013,100,78,63,-7,4,28,203,0,4,54
192,Take Back the Night,Justin Timberlake,dance pop,2013,107,66,59,-5,64,33,353,4,16,54
193,Applause,Lady Gaga,dance pop,2013,140,78,67,-4,11,73,212,3,5,52
194,Anything Could Happen,Ellie Goulding,dance pop,2013,103,78,70,-4,14,38,286,43,3,52
195,Finally Found You,Enrique Iglesias,dance pop,2013,128,88,62,-5,35,66,221,1,10,52
196,Pom Poms,Jonas Brothers,boy band,2013,148,98,68,-2,28,90,198,7,9,52
197,#Beautiful,Mariah Carey,dance pop,2013,107,76,68,-5,31,45,200,29,4,51
198,How Ya Doin'? (feat. Missy Elliott),Little Mix,dance pop,2013,201,95,36,-3,37,51,211,9,48,50
199,Crazy Kids (feat. will.i.am),Kesha,dance pop,2013,128,75,72,-4,13,50,229,4,4,46
200,"Ooh La La (from ""The Smurfs 2"")",Britney Spears,dance pop,2013,128,57,69,-5,11,73,257,2,5,45
201,People Like Us,Kelly Clarkson,dance pop,2013,128,79,60,-5,36,61,259,4,4,45
